1000,003,1,1
1000,009,1,1
1000,012,1,5
1000,016,1,3
1000,020,1,4
1000,027,1,2
1000,028,1,3
1000,031,1,1
1000,032,0,3
1000,035,0,4
1000,038,1,2
1000,039,1,2
1000,045,0,4
1000,049,1,3
1000,051,1,3
1000,054,0,3
1000,055,1,1
1000,056,1,3
1000,067,1,1
1000,072,1,3
1001,002,1,2
1001,005,0,4
1001,010,1,4
1001,018,1,4
1001,019,0,4
1001,024,0,1
1001,025,0,2
1001,041,1,5
1001,042,0,2
1001,048,1,2
1001,053,1,5
1001,057,0,1
1001,058,0,5
1001,059,0,5
1001,060,0,1
1001,061,1,2
1001,065,1,5
1001,066,0,5
1001,069,0,4
1001,071,0,2
1002,001,0,3
1002,004,0,5
1002,006,0,1
1002,008,0,2
1002,011,0,4
1002,014,0,4
1002,023,0,2
1002,030,1,3
1002,033,1,4
1002,034,0,2
1002,036,1,1
1002,037,1,3
1002,040,0,5
1002,046,1,5
1002,047,1,4
1002,050,0,4
1002,064,1,1
1002,068,0,3
1003,007,1,5
1003,013,1,3
1003,015,1,3
1003,017,1,1
1003,021,1,4
1003,022,1,1
1003,026,0,4
1003,029,1,2
1003,043,0,5
1003,044,0,3
1003,052,1,2
1003,062,0,4
1003,063,1,4
1003,070,1,3
